Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PHOX2B		1	1	1418	<0.1%	Yes
IGF1		3	3	1418	0.2%	Yes
EZH2		7	7	1418	0.5%	Yes
EZH1		4	4	743	0.5%	Yes
CDC42		1	1	743	0.1%	Yes
CDH1		35	32	1418	2.3%	Yes
PRDM1		18	17	1418	1.2%	Yes
PPP6C		1	1	1230	<0.1%	Yes
BORCS8-MEF2B		1	1	1418	<0.1%	No
CARM1		4	4	743	0.5%	Yes
MEN1		30	30	1418	2.1%	Yes
INPP4B		8	8	1418	0.6%	Yes
SOX17		17	17	1418	1.2%	Yes
NSD1		40	33	1418	2.3%	Yes
CXCR4		3	3	1230	0.2%	Yes
EPHA7		19	19	1230	1.5%	Yes
COP1		13	13	1418	0.9%	Yes
EPHA5		21	21	1418	1.5%	Yes
EPHA3		20	18	1418	1.3%	Yes
BCOR		19	18	1418	1.3%	Yes
BLM		13	13	1418	0.9%	Yes
HIST1H1C		10	10	1418	0.7%	Yes
ARID5B		7	7	1418	0.5%	Yes
SF3B1		29	29	1418	2.0%	Yes
MAP3K1		144	100	1418	7.1%	Yes
POLD1		11	11	1230	0.9%	Yes
POLE		21	21	1418	1.5%	Yes
PTPRD		30	30	1418	2.1%	Yes
TAP1		5	5	743	0.7%	Yes
ICOSLG		4	4	1418	0.3%	Yes
RYBP		2	2	1418	0.1%	Yes
TAP2		2	2	743	0.3%	Yes
MPL		9	9	1418	0.6%	Yes
MUTYH		4	4	1418	0.3%	Yes
MET		13	13	1418	0.9%	Yes
SOS1		8	8	743	1.1%	Yes
STAT3		13	13	1230	1.1%	Yes
FANCC		4	4	1418	0.3%	Yes
HRAS		5	4	1418	0.3%	Yes
FANCA		14	14	1418	1.0%	Yes
H3F3B		1	1	1230	<0.1%	Yes
H3F3A		1	1	1230	<0.1%	Yes
CCND2		7	7	1418	0.5%	Yes
HIST1H2BD		2	2	1418	0.1%	Yes
CCND3		4	4	1418	0.3%	Yes
EPHB1		14	13	1418	0.9%	Yes
CCNE1		5	5	1418	0.4%	Yes
RNF43		8	8	1418	0.6%	Yes
BMPR1A		6	6	1418	0.4%	Yes
RAD50		11	9	1418	0.6%	Yes
CHEK2		7	6	1418	0.4%	Yes
BABAM1		5	4	743	0.5%	Yes
MRE11		4	4	1418	0.3%	Yes
PRKAR1A		2	2	1418	0.1%	Yes
MST1		2	2	1230	0.2%	Yes
SOX9		16	15	1418	1.1%	Yes
MST1R		12	10	1230	0.8%	Yes
HOXB13		2	2	1230	0.2%	Yes
ERBB4		21	21	1418	1.5%	Yes
ERBB3		29	24	1418	1.7%	Yes
ERBB2		70	63	1418	4.4%	Yes
CRLF2		1	1	1418	<0.1%	Yes
ATR		34	33	1418	2.3%	Yes
ATRX		30	27	1418	1.9%	Yes
FOXL2		6	6	1418	0.4%	Yes
STAT5B		2	2	1230	0.2%	Yes
AKT3		10	10	1418	0.7%	Yes
STAT5A		5	5	1230	0.4%	Yes
MAP2K4		52	52	1418	3.7%	Yes
SOX2		7	7	1418	0.5%	Yes
ASXL1		19	18	1418	1.3%	Yes
DICER1		21	17	1418	1.2%	Yes
AURKA		10	10	1418	0.7%	Yes
PRKCI		3	3	743	0.4%	Yes
STK11		14	13	1418	0.9%	Yes
PRKD1		5	5	743	0.7%	Yes
ERG		9	9	1418	0.6%	Yes
ERF		1	1	743	0.1%	Yes
FAT1		58	53	1418	3.7%	Yes
TET2		17	16	1418	1.1%	Yes
ERCC5		13	13	1418	0.9%	Yes
ERCC4		12	12	1418	0.8%	Yes
ERCC3		4	4	1418	0.3%	Yes
EGFL7		3	3	1418	0.2%	Yes
BRCA1		44	38	1418	2.7%	Yes
BRAF		8	8	1418	0.6%	Yes
BRCA2		44	42	1418	3.0%	Yes
ERCC2		8	8	1418	0.6%	Yes
ID3		1	1	1230	<0.1%	Yes
AXL		14	14	1418	1.0%	Yes
XPO1		9	9	1418	0.6%	Yes
PLCG2		11	11	1230	0.9%	Yes
EED		2	2	1418	0.1%	Yes
HIST1H3F		1	1	1230	<0.1%	Yes
SRSF2		3	3	1230	0.2%	Yes
XRCC2		1	1	1230	<0.1%	Yes
KEAP1		13	11	1418	0.8%	Yes
MAPK1		5	5	1418	0.4%	Yes
MAPK3		2	2	1230	0.2%	Yes
RPS6KA4		6	6	1418	0.4%	Yes
APC		37	33	1418	2.3%	Yes
B2M		5	4	1418	0.3%	Yes
FOXA1		65	56	1418	3.9%	Yes
TMEM127		2	2	1418	0.1%	Yes
ARID2		45	42	1418	3.0%	Yes
YES1		6	6	1418	0.4%	Yes
AKT1		74	73	1418	5.1%	Yes
PPARG		2	2	743	0.3%	Yes
KDM6A		26	26	1418	1.8%	Yes
AKT2		7	7	1418	0.5%	Yes
ERRFI1		3	3	1230	0.2%	Yes
PALB2		21	21	1418	1.5%	Yes
STK19		2	2	743	0.3%	Yes
SETD2		15	15	1418	1.1%	Yes
PGR		7	7	1230	0.6%	Yes
VEGFA		2	2	1230	0.2%	Yes
FGF19		5	3	1418	0.2%	Yes
ESR1		213	200	1418	14.1%	Yes
DIS3		9	8	1418	0.6%	Yes
BIRC3		6	5	1230	0.4%	Yes
XIAP		4	4	1418	0.3%	Yes
BTK		9	9	1418	0.6%	Yes
PPP4R2		2	2	743	0.3%	Yes
TP63		9	9	1418	0.6%	Yes
MAX		8	8	1418	0.6%	Yes
PIK3R3		17	13	1418	0.9%	Yes
KNSTRN		4	4	743	0.5%	Yes
FUBP1		4	4	1418	0.3%	Yes
WWTR1		1	1	743	0.1%	Yes
MITF		5	5	1418	0.4%	Yes
PDCD1		5	5	1418	0.4%	Yes
PMS1		13	13	1418	0.9%	Yes
TNFRSF14		2	2	1418	0.1%	Yes
NCOR1		57	50	1418	3.5%	Yes
BARD1		10	10	1418	0.7%	Yes
SUZ12		6	6	1418	0.4%	Yes
ZFHX3		45	40	1230	3.3%	Yes
MED12		17	17	1418	1.2%	Yes
U2AF1		4	4	1418	0.3%	Yes
VHL		2	2	1418	0.1%	Yes
IKZF1		18	17	1418	1.2%	Yes
HGF		15	15	1418	1.1%	Yes
SOCS1		1	1	1418	<0.1%	Yes
KMT2A		40	37	1418	2.6%	Yes
SMARCA4		32	32	1418	2.3%	Yes
SMARCB1		5	5	1418	0.4%	Yes
MCL1		5	5	1418	0.4%	Yes
ATM		48	44	1418	3.1%	Yes
MLH1		3	3	1418	0.2%	Yes
CCND1		3	3	1418	0.2%	Yes
BCL2L1		2	2	1418	0.1%	Yes
DOT1L		21	18	1418	1.3%	Yes
ALK		16	15	1418	1.1%	Yes
SPOP		12	11	1418	0.8%	Yes
PMS2		4	4	1418	0.3%	Yes
IRS2		17	15	1418	1.1%	Yes
LYN		8	8	743	1.1%	Yes
PDGFRA		21	19	1418	1.3%	Yes
SH2D1A		2	2	1418	0.1%	Yes
ALOX12B		6	4	1418	0.3%	Yes
AR		14	14	1418	1.0%	Yes
CARD11		31	29	1418	2.0%	Yes
ARAF		13	12	1418	0.8%	Yes
RRAS		2	2	743	0.3%	Yes
MDM4		5	5	1418	0.4%	Yes
IKBKE		3	3	1418	0.2%	Yes
ABL1		6	6	1418	0.4%	Yes
RXRA		5	5	743	0.7%	Yes
BAP1		17	17	1418	1.2%	Yes
PIK3C2G		16	15	1418	1.1%	Yes
PIK3C3		3	3	1418	0.2%	Yes
RIT1		5	5	1418	0.4%	Yes
NSD2		7	7	743	0.9%	Yes
AXIN1		12	12	1418	0.8%	Yes
RECQL4		11	10	1418	0.7%	Yes
AXIN2		8	8	1418	0.6%	Yes
RICTOR		26	24	1418	1.7%	Yes
MGA		30	29	1230	2.4%	Yes
EPCAM		5	5	1418	0.4%	Yes
MDM2		10	8	1418	0.6%	Yes
PDGFRB		7	7	1418	0.5%	Yes
KMT2B		14	13	743	1.7%	Yes
SLX4		9	9	743	1.2%	Yes
PIK3CG		14	14	1418	1.0%	Yes
PIK3R1		39	37	1418	2.6%	Yes
PIK3R2		9	8	1418	0.6%	Yes
SMAD2		9	9	1418	0.6%	Yes
SMAD3		5	5	1418	0.4%	Yes
MDC1		22	19	1418	1.3%	Yes
SMAD4		16	16	1418	1.1%	Yes
TMPRSS2		11	11	1418	0.8%	Yes
PAK1		7	7	1418	0.5%	Yes
NCOA3		12	11	1230	0.9%	Yes
SDHA		7	7	1418	0.5%	Yes
PIK3CA		538	472	1418	33.3%	Yes
PDPK1		1	1	1418	<0.1%	Yes
PIK3CB		19	18	1418	1.3%	Yes
PIM1		4	4	1418	0.3%	Yes
PARP1		16	16	1418	1.1%	Yes
PIK3CD		12	9	1418	0.6%	Yes
RHOA		10	10	1418	0.7%	Yes
CIC		22	21	1418	1.5%	Yes
RAD54L		11	8	1418	0.6%	Yes
SDHAF2		1	1	1418	<0.1%	Yes
AMER1		16	16	1418	1.1%	Yes
CUL3		8	8	1418	0.6%	Yes
TSC1		24	21	1418	1.5%	Yes
RAB35		2	2	1230	0.2%	Yes
SMYD3		2	2	743	0.3%	Yes
SDHC		1	1	1418	<0.1%	Yes
SDHB		6	6	1418	0.4%	Yes
SDHD		1	1	1418	<0.1%	Yes
SUFU		4	4	1418	0.3%	Yes
GRIN2A		28	26	1418	1.8%	Yes
TSHR		3	3	1418	0.2%	Yes
TEK		15	11	743	1.5%	Yes
TERT		24	24	1418	1.7%	Yes
PAX5		4	4	1418	0.3%	Yes
KLF4		12	12	1418	0.8%	Yes
SPEN		68	58	1418	4.1%	Yes
LATS2		16	16	1418	1.1%	Yes
PRKN		4	4	1418	0.3%	Yes
WT1		9	9	1418	0.6%	Yes
TNFAIP3		8	8	1418	0.6%	Yes
TSC2		27	25	1418	1.8%	Yes
TRAF7		9	9	1418	0.6%	Yes
ZRSR2		5	5	1230	0.4%	Yes
HIST1H3I		4	4	1230	0.3%	Yes
HIST1H3G		4	4	1230	0.3%	Yes
HIST1H3C		1	1	1230	<0.1%	Yes
HIST1H3E		4	4	1230	0.3%	Yes
HIST1H3B		17	15	1418	1.1%	Yes
HIST1H3J		2	2	1230	0.2%	Yes
HIST1H3H		5	5	1230	0.4%	Yes
NUP93		16	13	1230	1.1%	Yes
HIST1H3D		4	4	1230	0.3%	Yes
PTPRT		18	18	1418	1.3%	Yes
TENT5C		2	2	1418	0.1%	Yes
EGFR		14	14	1418	1.0%	Yes
ABRAXAS1		1	1	1418	<0.1%	Yes
AURKB		2	2	1418	0.1%	Yes
KDM5C		20	20	1418	1.4%	Yes
TP53BP1		14	12	743	1.6%	Yes
TP53		656	646	1418	45.6%	Yes
BRD4		10	10	1418	0.7%	Yes
TOP1		5	5	1418	0.4%	Yes
RBM10		13	13	1418	0.9%	Yes
EIF1AX		3	3	1418	0.2%	Yes
GSK3B		8	7	1418	0.5%	Yes
DUSP4		4	3	743	0.4%	Yes
RPS6KB2		5	5	1418	0.4%	Yes
TGFBR1		2	2	1418	0.1%	Yes
TGFBR2		11	11	1418	0.8%	Yes
PPM1D		11	11	1230	0.9%	Yes
SHQ1		8	8	1418	0.6%	Yes
CYSLTR2		2	2	743	0.3%	Yes
EIF4A2		11	11	1230	0.9%	Yes
PREX2		18	17	743	2.3%	Yes
ACVR1		2	2	1230	0.2%	Yes
SESN1		1	1	743	0.1%	Yes
BRIP1		19	19	1418	1.3%	Yes
DAXX		4	4	1418	0.3%	Yes
EIF4E		2	2	1230	0.2%	Yes
LATS1		13	13	1418	0.9%	Yes
RRAS2		3	3	743	0.4%	Yes
FBXW7		12	12	1418	0.8%	Yes
MSH6		17	15	1418	1.1%	Yes
ROS1		30	30	1418	2.1%	Yes
TRAF2		4	4	1230	0.3%	Yes
SHOC2		1	1	743	0.1%	Yes
KIT		8	8	1418	0.6%	Yes
E2F3		3	3	1418	0.2%	Yes
ELF3		2	2	743	0.3%	Yes
CD276		2	2	1418	0.1%	Yes
ARID1A		94	84	1418	5.9%	Yes
PBRM1		18	17	1418	1.2%	Yes
ARID1B		37	37	1418	2.6%	Yes
GLI1		14	13	1230	1.1%	Yes
NTRK1		9	9	1418	0.6%	Yes
NTRK2		7	7	1418	0.5%	Yes
NTRK3		13	13	1418	0.9%	Yes
BBC3		6	5	1418	0.4%	Yes
NTHL1		2	2	743	0.3%	Yes
NKX2-1		5	5	1418	0.4%	Yes
HIST3H3		4	4	1230	0.3%	Yes
PAK5		11	11	1418	0.8%	Yes
GATA3		239	229	1418	16.1%	Yes
GATA2		7	7	1418	0.5%	Yes
JAK1		24	21	1418	1.5%	Yes
GATA1		6	6	1418	0.4%	Yes
JAK2		15	14	1418	1.0%	Yes
JAK3		10	10	1418	0.7%	Yes
KMT5A		2	2	743	0.3%	Yes
DDR2		9	7	1418	0.5%	Yes
DNMT3B		9	9	1418	0.6%	Yes
DNMT3A		19	19	1418	1.3%	Yes
SESN2		2	2	743	0.3%	Yes
DNMT1		17	17	1418	1.2%	Yes
GPS2		10	10	1230	0.8%	Yes
CYLD		6	6	743	0.8%	Yes
NUF2		1	1	743	0.1%	Yes
KRAS		13	13	1418	0.9%	Yes
JUN		10	10	1418	0.7%	Yes
CSF1R		4	4	1418	0.3%	Yes
GNA11		6	6	1418	0.4%	Yes
SESN3		2	2	743	0.3%	Yes
NKX3-1		3	3	1418	0.2%	Yes
RARA		15	15	1418	1.1%	Yes
MAP3K13		13	12	1418	0.8%	Yes
PRDM14		6	6	743	0.8%	Yes
KMT2D		75	66	1418	4.7%	Yes
GNAS		7	7	1418	0.5%	Yes
KDM5A		17	15	1418	1.1%	Yes
INHBA		7	6	1230	0.5%	Yes
FYN		9	9	1230	0.7%	Yes
GNAQ		1	1	1418	<0.1%	Yes
INHA		4	4	1230	0.3%	Yes
CSF3R		10	10	1230	0.8%	Yes
RTEL1		15	14	743	1.9%	Yes
CDK12		17	16	1418	1.1%	Yes
RASA1		11	10	1418	0.7%	Yes
PTPRS		20	20	1418	1.4%	Yes
NSD3		6	5	743	0.7%	Yes
RB1		55	53	1418	3.7%	Yes
